Letter,Spoken Form
a,arm
a,army
b,burr
b,bird
c,cap
d,drum
e,easy
f,fire
g,gust
h,harp
i,idol
j,jury
k,kayak
l,look
m,made
n,near
o,orange
p,poke
q,quench
r,rust
s,sun
t,trap
u,urge
v,voice
w,wash
x,plex
z,zip
y,yank
